object_alias
 PNV J18193700-1907400
+47O2801 CYG
+61O0668 CAM
0643-1645 CMA
0J 287
128 COMP STAR
1502 BOO
1502+09
1502+09 BOO
1RXJ161008+035222 Ser
1RXP J113123+4322.5
1RXPJ1131+4322
1RXS J002258.3+614111
1RXS J003828.7+250920
1RXS J005528.0+461143
1RXS J015017.0+375614
1RXS J023238.8-371812
1RXS J040307.5+044427
1RXS J042608.9+354151
1RXS J045707.4+452751
1RXS J052523.2+241331
1RXS J053234.9+62475
1RXS J053234.9+624755
1RXS J063214.8+25362
1RXS J063214.8+253620
1RXS J063631.9+353537
1RXS J064434.5+334451
1RXS J070407.9+262501
1RXS J075330.1+044606
1RXS J105010.3-140431
1RXS J161008.0+035222 
1RXS J171541.5+685632
1RXS J213344.1+510725
1RXS J213807.1+261958
1RXS J224342.3+305526
1RXS J231935.0+364705
1RXSJ0038+2509 AND
1RXSJ0532+6247
1RXSJ0632
1RXSJ0632+2536
1RXSJ0636+3535
1RXSJ1044+2113 LEO
1RXSJ2138+2619
1SWASP J150822.80-054236.9
1SWASP J201816.85+112452.8
1SWASPJ172849.10+415654.4
28 CYG
30  Her  1625+42
30 (g) Her  162542
30 HER
33 CET
3C 232
3C 232 LEO
3C 273
3C 279
3C 345
3C 351
3C 371
3C 382
3C 454.3
3C 66A
3C 66A AND
3C-382 Lyr
3C120 Tau
3C273
3C273 (Vir)
3C273 Vir
3C279
3C279 (Vir)
3C279 Vir
3C351
3C351 DRA
3C371 Dra
3C66A
3C66A And
4 SER TAU
44 NYSA
45 Dra
4C 29.45
4C 29.5
4C+29.45 UMA
4Sep TAU
51  Cas
51 CAS
57 SGR
68 HER
68 u Her
69 DRA
93 RX BOO
a  Ori     0549+07
AA  Cyg
AA Aur
AA Cas
AAVSO
AB  Dra
AB AND
AB AUR
AB CAS
AB DRA
ABAur
ABDra
AC  Car     0705-58
AC BOO
AC CAR
AC Cnc
AC HER
ACHer
AD AND
AD BOO
AD CAP
AD PER
ADPer
AE AQR
AE AUR
AE CIR
AE HER
AF   Cyg     1927+45
AF  Cyg  192745
AF  Cyg 1927+45
AF AND
AF CAM
AF CYG
AF CYG 192745
AF LEO
AFCyg
AG CAR
AG DRA
AG PEG
AGDra
AGPeg
AH CEP
AH DRA
AH ERI
AH HER
AHDra
AHHer
AI  Per
AI  Per   0242+37
AI DRA
AI LEO
AI PER
AI TRI
AK CNC
AK HER
AK HYA
AK LEO
AL COM
ALP  Ori
Alp Cas
Alp Her
Alp Ori
alpha  Cas
alpha  Cas  0034+55
alpha  Her
alpha  Ori
alpha  Ori   0549+07
ALPHA CAS
ALPHA HER
ALPHA ORI
alpha Ori   054907
ALPHA ORI 054907
AM AUR
AM CAS
AM CVn
AM HER
AN CAM
AN LYR
AN Peg
AN UMA
AND V402
ANTIPIN V79
ANTIPIN V81
AO 0235+164 ARI
AO CAS
AO Her
AO Psc
AP CrB
AP LEO
AQ  And
AQ  And   0022+35
AQ  And   002235
AQ AND
AQ AUR
AQ CMI
AQ ERI
AQ SGR
AQAnd
AR  Cep    2253+84
AR  Cep  2253+84
AR  Cep  225384
AR AND
AR AUR
