Variable Star,Number of Observations,Number of Observers,First Observation JD / UT,Latest Observation JD / UT,Maximum Magnitude,Minimum Magnitude,Range
0531+00,2,1,2448216.495000 20 Nov 1990 23:52:48.000000,2449391.448000 7 Feb 1994 22:45:07.200000,9.900,11.300,1.400 
0545+46,2,1,2447905.255000 13 Jan 1990 18:07:12.000000,2449393.452000 9 Feb 1994 22:50:52.800000,11.300,11.900,0.600 
0643-1645 CMA,11,1,2448631.518700 10 Jan 1992 00:26:55.680000,2448692.366600 10 Mar 1992 20:47:54.240000,11.800,12.000,0.200 
128 COMP STAR,1,1,2453919.482600 2 Jul 2006 23:34:56.640000,2453919.482600 2 Jul 2006 23:34:56.640000,12.600,12.600,0.000 
1910+47,2,1,2448477.506000 9 Aug 1991 00:08:38.400000,2449719.306000 1 Jan 1995 19:20:38.400000,11.000,11.800,0.800 
1RXS J063214.8+253620,1,1,2455955.381900 28 Jan 2012 21:09:56.160000,2455955.381900 28 Jan 2012 21:09:56.160000,12.700,12.700,0.000 
1RXS J105010.3-140431,1,1,2456466.776000 23 Jun 2013 06:37:26.400000,2456466.776000 23 Jun 2013 06:37:26.400000,13.800,13.800,0.000 
21 PSC,2,1,2443789.414000 7 Oct 1978 21:56:09.600000,2443818.390000 5 Nov 1978 21:21:36.000000,5.200,5.300,0.100 
2300+70,2,1,2448891.437000 25 Sep 1992 22:29:16.800000,2449692.453000 5 Dec 1994 22:52:19.200000,10.500,10.600,0.100 
3 CET,7,1,2410283.500000 12 Jan 1887 00:00:00.000000,2410624.500000 19 Dec 1887 00:00:00.000000,5.100,5.200,0.100 
3C 232,24,1,2452701.379100 2 Mar 2003 21:05:54.240000,2458574.404100 31 Mar 2019 21:41:54.240000,9.700,15.500,5.800 
3C 273,2436,19,2444706.441000 11 Apr 1981 22:35:02.400000,2459732.459000 1 Jun 2022 23:00:57.600000,10.100,15.200,5.100 
3C 279,894,8,2448767.460400 24 May 1992 23:02:58.560000,2459726.476000 26 May 2022 23:25:26.400000,12.800,17.800,5.000 
3C 345,76,1,2448337.524300 22 Mar 1991 00:34:59.520000,2449456.481000 13 Apr 1994 23:32:38.400000,14.260,15.220,0.960 
3C 351,72,1,2451937.726000 28 Jan 2001 05:25:26.400000,2459720.483000 20 May 2022 23:35:31.200000,14.700,15.800,1.100 
3C 371,1354,3,2445940.404000 27 Aug 1984 21:41:45.600000,2459378.523000 13 Jun 2021 00:33:07.200000,14.000,16.100,2.100 
3C 382,670,2,2453142.561100 17 May 2004 01:27:59.040000,2459906.272000 22 Nov 2022 18:31:40.800000,12.900,15.400,2.500 
3C 454.3,11,2,2454337.406900 24 Aug 2007 21:45:56.160000,2456280.340300 18 Dec 2012 20:10:01.920000,14.100,17.000,2.900 
3C 66A,1811,11,2449300.517000 9 Nov 1993 00:24:28.800000,2459904.402000 20 Nov 2022 21:38:52.800000,12.000,15.600,3.600 
3C 66B,8,1,2449335.453000 13 Dec 1993 22:52:19.200000,2449692.403000 5 Dec 1994 21:40:19.200000,14.100,14.400,0.300 
