Star,Con,RA,Dec,Type,Max,Min,Period,Chart,Class,Eclipse Duration
R,And,00 24,+38 35,M,5.8,15.2,409.2,53.02,pulsating
W,And,02 18,+44 18,M,6.7,14.6,397.3,35.02,pulsating
AQ,And,00 28,+35 35,SRb,7.7,9.5,169,303.01,pulsating
BZ,And,00 38,+45 36,Lb,7.7,8.6,,304.01,pulsating
RS,And,23 55,+48 38,SRa,7,9.4,136,334.01,pulsating
RW,And,00 47,+32 41,M,7.9,15.7,430,22.01,pulsating
SU,And,00 05,+43 33,Lc,8,8.5,,345.01,pulsating
TZ,And,23 51,+47 31,Lb,8,9.3,,334.01,pulsating
UX,And,02 33,+45 39,SRb,8.2,9.9,200,AAVSO,pulsating
VX,And,00 20,+44 43,SRa,7.5,9.7,375,345.01,pulsating
V370 ,And,01 59,+45 26,SRb,6.85,8.05,119,AAVSO,pulsating
NSV15486 (TAV 0216 +48),And,02 19,+48 14,Lb,9.5,10.5p,,TA,pulsating
,,,,,,,,,pulsating
R,Aql,19 06,+08 14,M,5.5,12,270.5,30.02,pulsating
S,Aql,20 12,+15 37,SRa,8.9,12.8,146.45,AAVSO,pulsating
V,Aql,19 04,-05 41,SRb,6.6,8.4,353,26.04,pulsating
UW,Aql,18 57,+00 27,Lc,8.9,9.5,,28.01,pulsating
V450,Aql,19 34,+05 28,SRb,6.14,6.86,64.2,70.02,pulsating
,,,,,,,,,pulsating
R,Aqr,23 44,-15 17,M,5.2,12.4,387,96.01,pulsating
RU,Aqr,23 24,-17 19,SRb,8.5,10.1,118.8,AAVSO,pulsating
,,,,,,,,,pulsating
R,Ari,02 16,+25 03,M,7.1,14.3,185.67,AAVSO,pulsating
V,Ari,02 15,+12 14,SRb,8.2,8.9,56.38,1984Oct26,pulsating
,,,,,,,,,pulsating
Psi1,Aur,06 25,+49 17,Lc,4.54,5.7,,1973Jul14,pulsating
R,Aur,05 17,+53 35,M,6.7,13.9,457.51,AAVSO,pulsating
X,Aur,06 12,+50 13,M,8,13.6,163.79,AAVSO,pulsating
TU ,Aur,06 36,+45 37,SRb,9.8,10.6p,73,AAVSO,pulsating
TW,Aur,05 53,+45 31,SRb,9.1,10.6p,150,AAVSO,pulsating
UU,Aur,06 37,+38 27,SRb,5.1,6.6,235,230.02,pulsating
UV,Aur,05 22,+32 31,M,7.3,10.9,394.42,74.03,pulsating
V428,Aur,05 31,+38 19,RV,6.6,7.2,89.2,AAVSO,pulsating
NSV 16874 (TASV 0626 +34),Aur,06 29,+34 42,Lb,9.8,11.9p,,321.01,pulsating
,,,,,,,,,pulsating
R ,Boo,14 37,+26 44,M,6.2,13.1,223.4,AAVSO,pulsating
S,Boo,14 23,+53 49,M,7.8,13.8,270.73,AAVSO,pulsating
U,Boo,14 54,+17 39,SRb,9.8,13,201.3,36.02,pulsating
V,Boo,14 30,+38 52,SRa,7,12,258.01,37.02,pulsating
W,Boo,14 43,+26 32,SRb?,4.62,4.93,25.51,Undated,pulsating
DK,Boo,13 44,+21 49,SRb,7.89,8.8,60.23,AAVSO,pulsating
FG,Boo,15 12,+49 54,SRb,7.3,8.3,700,AAVSO,pulsating
RV,Boo,14 39,+32 32,SRb,7.5,8.7,228,104.02,pulsating
RW,Boo,14 41,+31 34,SRb,7.5,8.6,209,104.02,pulsating
RX,Boo,14 24,+25 42,SRb,7,8.3,158,219.02,pulsating
,,,,,,,,,pulsating
R,Cam,14 18,+83 50,M,6.97,14.4,270.22,AAVSO,pulsating
U,Cam,03 42,+62 39,SRb,7,9.4,2800,100.02,pulsating
V,Cam,06 03,+74 30,M,7.7,16,522.45,27.01,pulsating
X,Cam,04 46,+75 06,M,7.4,14.2,143.56,38.03,pulsating
CC,Cam,04 57,+69 27,M,10.5,15.8,244,299.01,pulsating
RS ,Cam,08 50,+78 58,SRb,7.8,9.7,88.6,AAVSO,pulsating
RV ,Cam,04 31,+57 25,SRb,7.1,8.6,101,AAVSO,pulsating
RY,Cam,04 31,+64 26,SRb,7.7,8.7,135.75,343.01,pulsating
ST,Cam,04 51,+68 10,SRb,6.3,8.5,300,111.02,pulsating
UV,Cam,04 06,+61 48,SRb,7.5,7.7,294,343.01,pulsating
ZZ,Cam,04 18,+62 21,Lb,7,7.3,,343.01,pulsating
,,,,,,,,,pulsating
T ,Cnc,08 57,+19 51,SRb,7.6,10.5,482,AAVSO,pulsating
X,Cnc,08 55,+17 04,SRb,5.69,6.94,180,231.02,pulsating
RS,Cnc,09 11,+30 58,SRb,5.33,6.94,242.2,269.01,pulsating
RT,Cnc,08 58,+10 51,SRb,7.05,8.1,90.04,311.01,pulsating
SU,Cnc,08 14,+13 48,M,10.3,<15.0,190.45,AAVSO 040315,pulsating
,,,,,,,,,pulsating
U,CVn,12 47,+38 23,M,9,16.1,345.65,AAVSO 0383,pulsating
V,CVn,13 20,+45 32,SRa,6.52,8.56,191.89,214.02,pulsating
Y,CVn,12 45,+45 26,SRb,4.86,5.88,267.8,215.02,pulsating
RT,CVn,13 49,+33 41,M,9.4,17.5,253.6,AAVSO 0571,pulsating
TU,CVn,12 55,+47 12,SRb,5.6,6.2,44.2,215.02,pulsating
,,,,,,,,,pulsating
W,CMa,07 08,-11 55,SR,6.27,7.09,160,213.02,pulsating
,,,,,,,,,pulsating
Rho,Cas,23 54,+57 29,SDOR,4.1,6.2,,64.01,pulsating
R,Cas,23 58,+51 23,M,4.7,13.5,430.46,AAVSO,pulsating
S,Cas,01 19,+72 37,M,7.9,16.1,612.43,54.02,pulsating
T,Cas,00 23,+55 48,M,6.9,13,444.83,67.02,pulsating
WZ,Cas,00 01,+60 21,SRb,6.87,7.8,186,323.01,pulsating
V391,Cas,01 57,+70 12,Lb,7,7.2,,337.01,pulsating
V393,Cas,02 03,+71 18,SRa,7.2,7.9,393,337.01,pulsating
V465,Cas,01 18,+57 48,SRb,6.1,7.2,60,233.02,pulsating
V720,Cas,00 45,+53 27,M,11.2,15.7,425,289.01,pulsating
V770,Cas,01 40,+60 54,Lb,7.45,8.13 Hp,,AAVSO,pulsating
,,,,,,,,,pulsating
Mu,Cep,21 44,+58 47,SRc,3.43,5.1,835,112.02,pulsating
S ,Cep,21 35,+78 37,M,7.4,12.9,486.84,AAVSO,pulsating
T,Cep,21 10,+68 29,M,5.2,11.3,388.14,338.02,pulsating
W,Cep,22 37,+58 26,SRc,7.02,8.5,350,312.02,pulsating
AR,Cep,22 52,+85 03,SRb,7,7.9,364,332.01,pulsating
DM,Cep,22 08,+72 46,Lb,6.95,7.4,,Undated,pulsating
FZ,Cep,21 20,+55 27,SR,7,7.6,,302.01,pulsating
RU,Cep,01 21,+85 08,SRd,8.2,9.1,109,332.01,pulsating
RW,Cep,22 23,+55 58,SRd,6,7.3,346,312.02,pulsating
SS,Cep,03 50,+80 19,SRb,6.7,7.7,90,315.01,pulsating
V386,Cep,22 53,+61 17,SR,8.8,11.5,,TA 950426,pulsating
NSV14687,Cep,23 44,+71 46,M,11.2,15.5,369,TA,pulsating
NSV 25186 (TAV 2034 +61),Cep,20 35,+61 48,SRb,10.6,12,250,291.01,pulsating
NSV 25835 (TASV 2204 +59),Cep,22 06,+59 30,Lc,10.1,11.5,,TA,pulsating
,,,,,,,,,pulsating
Omicron,Cet,02 19,-02 59,M,2,10.1,331.96,39.03,pulsating
,,,,,,,,,pulsating
R,Com,12 04,+18 47,M,7.1,14.6,362.82,212.02,pulsating
,,,,,,,,,pulsating
S,CrB,15 21,+31 22,M,5.8,14.1,360.26,43.02,pulsating
V,CrB,15 50,+39 34,M,6.9,12.6,357.63,57.02,pulsating
W,CrB,16 15,+37 48,M,7.8,14.3,238.4,44.02,pulsating
RR,CrB,15 41,+38 33,SRb,7.3,8.2,60.8,220.02,pulsating
RS,CrB,15 59,+36 01,SRa,7,10.2,332.2,220.02,pulsating
,,,,,,,,,pulsating
Chi,Cyg,19 51,+32 55,M,3.3,14.2,408.05,45.02,pulsating
R,Cyg,19 37,+50 12,M,6.1,14.4,426.45,31.01,pulsating
S,Cyg,20 06,+57 59,M,9.3,17,322.93,32.01,pulsating
U,Cyg,20 20,+47 54,M,5.9,12.1,463.24,AAVSO,pulsating
V,Cyg,20 14,+48 09,M,7.7,13.9,421.27,34.02,pulsating
W,Cyg,21 36,+45 22,SRb,5.1,6.83,131.7,62.04,pulsating
AF,Cyg,19 30,+46 09,SRb,6.4,7.7,92.5,232.02,pulsating
BC,Cyg,20 22,+37 32,SRc,9.6,10.5,700,65.01,pulsating
BI,Cyg,20 21,+36 56,Lc,8.4,9.9,,65.01,pulsating
RU,Cyg,21 41,+54 19,SRa,8,9.4,233.43,302.01,pulsating
RV,Cyg,21 43,+38 01,SRb,7.1,9.3,263,335.01,pulsating
TT,Cyg,19 41,+32 37,SRb,7.26,8,118,227.02,pulsating
V460,Cyg,21 42,+35 31,SRb,5.57,6.5,180,336.01,pulsating
V973,Cyg,19 45,+40 43,SRb,6.1,6.77,40,232.02,pulsating
NSV13806,Cyg,21 36,+32 31,,11.1,<16.0,,TA,pulsating
TAV 1933 +53,Cyg,19 34,+53 53,,10.3,12CCD,,TA,pulsating
,,,,,,,,,pulsating
U,Del,20 46,+18 06,SRb,6.14,7.61,120,228.02,pulsating
EU,Del,20 38,+18 16,SRb,5.41,6.72,58.63,228.02,pulsating
,,,,,,,,,pulsating
T,Dra,17 56,+58 13,M,7.2,13.5,422.2,46.01,pulsating
AH,Dra,16 48,+57 49,SRb,6.4,8.6,158,106.03,pulsating
GN ,Dra,17 2,+66 27,SRb,9.05,10.5,154,AAVSO,pulsating
RY,Dra,12 56,+66 00,SRb?,5.88,8,300,225.02,pulsating
TX,Dra,16 35,+60 28,SRb,6.8,8.2,78,106.03,pulsating
UX,Dra,19 22,+76 34,SRb,5.94,7.1,175,346.01,pulsating
,,,,,,,,,pulsating
Z,Eri,02 47,-12 27,SRb,6.17,7.18,74,AAVSO,pulsating
BM ,Eri,04 13,-10 23,SR,6.76,8.03,559,AAVSO,pulsating
BR,Eri,03 49,-07 01,SRb,6.5,8.16,73.3,AAVSO,pulsating
VY,Eri,03 41,-10 45,SRb,9.2,10.6p,102.5,AAVSO,pulsating
,,,,,,,,,pulsating
R ,Gem,07 07,+22 42,M,6,14,369.91,AAVSO,pulsating
BU,Gem,06 12,+22 55,SRc,5.74,7.4,325,294.01,pulsating
DW,Gem,06 31,+27 27,Lb,8,10,,MDT 850318,pulsating
TU,Gem,06 11,+26 01,SRb,6.88,8,217,294.01,pulsating
TV,Gem,06 12,+21 52,SRc,6.27,7.5,,294.01,pulsating
WY,Gem,06 12,+23 12,Lc+E?,7.1,7.56,64.48y,294.01,pulsating
TAV 0714 +17,Gem,07 17,+17 54,SR?,10.5,12.2,,319.01,pulsating
J0712 +296,Gem,07 12,+29 38,LB?,11.3,13.8,,318.01,pulsating
,,,,,,,,,pulsating
g(Fl30),Her,16 29,+41 53,SRb,4.3,5.5,89.2,224.02,pulsating
S,Her,16 52,+14 57,M,6.4,13.8,304,AAVSO,pulsating
T,Her,18 09,+31 01,M,6.8,13.7,164.98,AAVSO,pulsating
X,Her,16 03,+47 14,SRb,5.8,7,102,223.02,pulsating
AC,Her,18 30,+21 52,RVA,6.85,9,75.29,48.04,pulsating
IQ,Her,18 18,+17 59,SRb,6.8,8,76.5,48.04,pulsating
OP,Her,17 57,+45 21,SRb,5.85,6.73,120.5,324.01,pulsating
RU,Her,16 10,+25 04,M,6.7,14.3,440.8,60.02,pulsating
SS,Her,16 33,+06 51,M,8.5,13.5,114.2,47.01,pulsating
ST,Her,15 51,+48 29,SRb,6.8,8.3,144,223.02,pulsating
SX,Her,16 08,+24 55,SRd,7.9,9.3,103.5,113.02,pulsating
UW,Her,17 14,+36 22,SRb,6.8,8.7,103.6,107.02,pulsating
V566,Her,18 08,+41 43,SRb,7.42,7.85,137,324.01,pulsating
NSV10836,Her,18 28,+15 42,M,11,<15.00,,TA,pulsating
NSV24346 (TASV 1812 +40),Her,18 14,+40 26,Lb,9.6,10.3p,,TA,pulsating
Q1992/076,Her,18 29,+15 16,M,12,<16.8,,TA,pulsating
,,,,,,,,,pulsating
R,Hya,13 30,-23 17,M,3.5,10.9,380,49.03,pulsating
U,Hya,10 38,-13 23,SRb,4.56,5.4,183.1,109.02,pulsating
EY,Hya,08 46,+01 38,SRb,8.49,10.14,277,AAVSO,pulsating
